ID,Tweet Text,Sentiment
1,Pawan Kalyan is a force of nature! The screen presence is unmatched.,Positive
2,Absolute entertainer. Harish Shankar knows how to present the Powerstar.,Positive
3,The forest action sequence was shot so well. Best action of 2026!,Positive
4,Blockbuster loading! Theatres are turning into stadiums.,Positive
5,Emotional scenes between PK and his mother were the soul of the film.,Positive
6,Sreeleela's dance moves are incredible. Great chemistry with the lead.,Positive
7,Watched it FDFS. The mass dialogue delivery gave me goosebumps.,Positive
8,5 stars! A perfect blend of politics and commercial cinema.,Positive
9,This movie is a treat for every fan. Do not miss it on the big screen!,Positive
10,The background score by DSP is a major plus point. Intense!,Positive
11,"Ustaad Bhagat Singh is okay, but Gabbar Singh remains the gold standard.",Neutral
12,Decent one-time watch. Pacing could have been better in the second half.,Neutral
13,Does anyone have the official box office numbers for Day 1?,Neutral
14,It’s a typical commercial film. Nothing groundbreaking but not bad.,Neutral
15,Waiting for the OTT release to watch it again with family.,Neutral
16,"The supporting cast was good, but the villain felt a bit weak.",Neutral
17,Some scenes felt like a repeat of previous Harish Shankar films.,Neutral
18,Average movie. Expected more story and less slow-motion shots.,Neutral
19,"The cinematography is colorful and rich, but the script is just fine.",Neutral
20,"Mixed feelings. The first half is a riot, the second half drags.",Neutral
21,Total disappointment. The story is non-existent and very predictable.,Negative
22,Too much loud noise and slow-mo. It felt like a 3-hour long fan edit.,Negative
23,Waste of money. The screenplay was messy and all over the place.,Negative
24,Logic goes for a toss in the climax. Very disappointed with the direction.,Negative
25,Not worth the hype. Just another generic action movie with no soul.,Negative
26,The dialogues felt very outdated and cringe-worthy in many parts.,Negative
27,Save your money. This is easily Pawan Kalyan's weakest film lately.,Negative
28,Poor editing. Transitions between scenes were very jarring.,Negative
29,Overhyped and underwhelming. Expected a lot more from this combo.,Negative
30,I walked out before the movie even ended. Too many subplots.,Negative
31,The interval bang was absolutely mind-blowing. Pure goosebumps!,Positive
32,Why was the second half so slow? It ruined the momentum.,Negative
33,Is this movie playing in IMAX theaters in Mumbai?,Neutral
34,Every scene with the lead actor feels like a celebration.,Positive
35,The VFX in the climax looked very unfinished and cheap.,Negative
36,Can someone tell me the name of the song in the opening credits?,Neutral
37,Harish Shankar delivers a solid mass entertainer for the summer.,Positive
38,The comedy scenes were a hit or miss for me. Mostly miss.,Negative
39,"It’s a standard commercial film. Fans will love it, others might not.",Neutral
40,Most inspiring performance by PK in recent years. Truly a leader.,Positive
41,Just another loud action film with zero logic. Skip it.,Negative
42,What is the total budget of Ustaad Bhagat Singh?,Neutral
43,The cinematography captured the rural essence perfectly.,Positive
44,Terribly written female characters. They have nothing to do.,Negative
45,"Average music, but the background score is quite high energy.",Neutral
46,I’ve watched it twice already. The energy in the theater is insane!,Positive
47,Plot holes everywhere. How did the hero survive that explosion?,Negative
48,Does the film have subtitles in the English screenings?,Neutral
49,A masterpiece of commercial cinema. Best of the year so far.,Positive
50,Too much political messaging. I just wanted a simple story.,Negative
51,Comparing this to the original version—it’s a decent remake.,Neutral
52,That one dialogue about the system was truly powerful.,Positive
53,Cringe-worthy romance scenes. It felt so forced and awkward.,Negative
54,Is the movie suitable for children under 12?,Neutral
55,High voltage action! My heart was racing the whole time.,Positive
56,This is a complete waste of Pawan Kalyan’s talent.,Negative
57,"It’s neither a hit nor a flop, just a mediocre attempt.",Neutral
58,10/10 for the production design. Everything looks so grand.,Positive
59,I didn't like the ending. It felt rushed and unsatisfying.,Negative
60,The ticket prices are way too high for this kind of movie.,Neutral
61,Best choreography I've seen in a long time. The lead can dance!,Positive
62,The villain was a caricature. No depth or threat at all.,Negative
63,"It’s a long movie, make sure to buy popcorn before it starts.",Neutral
64,Such a refreshing take on the police officer trope. Loved it.,Positive
65,The editing was so choppy. It felt like scenes were missing.,Negative
66,Does the movie have a post-credits scene for a sequel?,Neutral
67,Finally a movie that justifies the stardom of the lead actor.,Positive
68,I’m so bored of these same old revenge stories in every film.,Negative
69,The theater was 80% full even on a Monday afternoon.,Neutral
70,Every frame of this movie is wallpaper material. Visual treat!,Positive
71,Terrible sound mixing. The music was louder than the dialogues.,Negative
72,Who composed the music for this film? It sounds familiar.,Neutral
73,A must-watch for the dialogue delivery alone. Power-packed!,Positive
74,I regret spending my weekend on this movie. So boring.,Negative
75,It’s okay for a one-time watch if you have nothing else to do.,Neutral
76,The chemistry between the hero and his friend was hilarious.,Positive
77,Logic went for a vacation during the production of this film.,Negative
78,How many songs are there in the first half of the movie?,Neutral
79,This is the comeback we were all waiting for. Simply brilliant.,Positive
80,The climax fight lasted way too long. I lost interest.,Negative
81,It’s a typical masala entertainer. Don't look for logic.,Neutral
82,I left the theater feeling energized. What a fantastic film!,Positive
83,The script was written on a napkin. No substance at all.,Negative
84,Are there any early morning shows available for tomorrow?,Neutral
85,Pure mass celebration! The theater was like a carnival.,Positive
86,Overacting by the supporting cast made it hard to watch.,Negative
87,The cinematography is good but the story is very predictable.,Neutral
88,This movie sets a new benchmark for action sequences in India.,Positive
89,Totally underwhelming. I expected much more from Harish Shankar.,Negative
